calc_time,funding_interval_hours,last_funding_rate
1685577600008,8,0E-8
1685606400012,8,0.00008187
1685635200000,8,0E-8
1685664000000,8,0E-8
1685692800006,8,0.00004057
1685721600012,8,0E-8
1685750400000,8,0.00007832
1685779200011,8,0.00004591
1685808000003,8,0.00000943
1685836800000,8,1.7E-7
1685865600000,8,0.00003122
1685894400000,8,0.00016004
1685923200005,8,0.00010125
1685952000000,8,0E-8
1685980800000,8,0E-8
1686009600000,8,0E-8
1686038400009,8,0E-8
1686067200013,8,0E-8
1686096000000,8,0E-8
1686124800016,8,0E-8
1686153600000,8,0E-8
1686182400006,8,0E-8
1686211200000,8,0E-8
1686240000000,8,0E-8
1686268800000,8,0E-8
1686297600000,8,0E-8
1686326400000,8,0E-8
1686355200000,8,0.00002811
1686384000000,8,-0.00036574
1686412800000,8,-0.00002163
1686441600001,8,0E-8
1686470400000,8,-0.00018089
1686499200000,8,-0.00028735
1686528000000,8,0E-8
1686556800000,8,-0.00070002
1686585600001,8,-0.00006726
1686614400000,8,0E-8
1686643200000,8,-0.00006270
1686672000000,8,-0.00034303
1686700800000,8,-0.00000398
1686729600000,8,-0.00044698
1686758400000,8,-0.00045270
1686787200000,8,-0.00031629
1686816000000,8,-0.00007324
1686844800000,8,0E-8
1686873600000,8,-0.00005371
1686902400000,8,-0.00005605
1686931200000,8,-0.00017727
1686960000000,8,0E-8
1686988800000,8,0E-8
1687017600000,8,0E-8
1687046400000,8,0E-8
1687075200000,8,0E-8
1687104000000,8,0E-8
1687132800000,8,0E-8
1687161600000,8,0E-8
1687190400000,8,0E-8
1687219200001,8,0E-8
1687248000000,8,0E-8
1687276800000,8,0E-8
1687305600000,8,0E-8
1687334400000,8,0E-8
1687363200000,8,0E-8
1687392000000,8,0E-8
1687420800001,8,0E-8
1687449600000,8,0E-8
1687478400000,8,0E-8
1687507200000,8,0E-8
1687536000000,8,0E-8
1687564800000,8,0.00001262
1687593600000,8,0E-8
1687622400000,8,0E-8
1687651200000,8,0E-8
1687680000000,8,0E-8
1687708800000,8,0E-8
1687737600000,8,0E-8
1687766400000,8,0E-8
1687795200000,8,0E-8
1687824000000,8,0E-8
1687852800000,8,0.00007353
1687881600000,8,0.00004009
1687910400000,8,0E-8
1687939200000,8,0E-8
1687968000000,8,0E-8
1687996800000,8,0E-8
1688025600000,8,0E-8
1688054400000,8,0E-8
1688083200000,8,0E-8
1688112000000,8,0E-8
1688140800001,8,0E-8
1688169600000,8,0.00005352
1688198400000,8,0.00005349
1688227200000,8,0.00014546
1688256000000,8,0.00014716
1688284800000,8,0.00002679
1688313600001,8,0.00023805
1688342400000,8,0.00009255
1688371200000,8,0.00019120
1688400000000,8,0.00009428
1688428800001,8,0E-8
1688457600000,8,0E-8
1688486400000,8,0E-8
1688515200000,8,0E-8
1688544000000,8,0E-8
1688572800000,8,0E-8
1688601600000,8,0E-8
1688630400000,8,0E-8
1688659200000,8,0E-8
1688688000000,8,-0.00046009
1688716800000,8,-0.00016651
1688745600000,8,-0.00009253
1688774400000,8,-0.00009236
1688803200000,8,-0.00007741
1688832000000,8,0E-8
1688860800000,8,-0.00000491
1688889600000,8,0E-8
1688918400000,8,-0.00008229
1688947200000,8,-0.00012524
1688976000000,8,-0.00000439
1689004800000,8,-0.00012535
1689033600000,8,-0.00025923
1689062400000,8,-0.00074001
1689091200000,8,-0.00074761
1689120000000,8,-0.00035487
1689148800000,8,-0.00065440
1689177600000,8,-0.00059837
1689206400000,8,-0.00108561
1689235200000,8,-0.00074145
1689264000000,8,-0.00082611
1689292800000,8,0E-8
1689321600000,8,-0.00042246
1689350400000,8,-0.00049717
1689379200000,8,-0.00116654
1689408000000,8,-0.00054039
1689436800000,8,-0.00067300
1689465600001,8,-0.00082346
1689494400000,8,-0.00077424
1689523200000,8,-0.00076813
1689552000000,8,-0.00180248
1689580800000,8,-0.00025688
1689609600000,8,-0.00034131
1689638400000,8,-0.00013206
1689667200000,8,-0.00037172
1689696000000,8,0E-8
1689724800000,8,0E-8
1689753600000,8,0.00014002
1689782400001,8,0.00010374
1689811200000,8,0.00004559
1689840000000,8,0.00013033
1689868800000,8,0E-8
1689897600001,8,0.00007509
1689926400000,8,0.00002789
1689955200000,8,0.00024970
1689984000000,8,0.00013559
1690012800000,8,0.00006965
1690041600000,8,0E-8
1690070400000,8,0E-8
1690099200000,8,0.00008296
1690128000000,8,0.00007037
1690156800000,8,0E-8
1690185600000,8,0.00001192
1690214400000,8,0E-8
1690243200000,8,0E-8
1690272000000,8,0.00008855
1690300800000,8,0E-8
1690329600000,8,0E-8
1690358400001,8,0.00000189
1690387200000,8,0E-8
1690416000000,8,0E-8
1690444800000,8,0.00004979
1690473600001,8,0.00002458
1690502400000,8,0.00001600
1690531200000,8,0E-8
1690560000000,8,0.00005712
1690588800000,8,0E-8
1690617600000,8,0E-8
1690646400001,8,0.00009950
1690675200000,8,0.00004905
1690704000000,8,0.00008003
1690732800000,8,0.00011335
1690761600000,8,0.00009227
1690790400000,8,0.00007364
1690819200001,8,0.00004110
1690848000000,8,0E-8
1690876800000,8,0.00007317
1690905600000,8,0.00006759
1690934400000,8,0E-8
1690963200000,8,0E-8
1690992000000,8,0E-8
1691020800000,8,0E-8
1691049600000,8,0E-8
1691078400001,8,0E-8
1691107200000,8,0E-8
1691136000000,8,0E-8
1691164800000,8,0E-8
1691193600000,8,0E-8
1691222400000,8,0E-8
1691251200001,8,0E-8
1691280000000,8,0E-8
1691308800001,8,0.00001099
1691337600005,8,0E-8
1691366400000,8,0E-8
1691395200000,8,0E-8
1691424000000,8,0E-8
1691452800000,8,0E-8
1691481600000,8,0E-8
1691510400000,8,0E-8
1691539200000,8,0.00015375
1691568000000,8,0E-8
1691596800000,8,0E-8
1691625600001,8,0E-8
1691654400000,8,0E-8
1691683200000,8,0E-8
1691712000000,8,-0.00015036
1691740800000,8,-0.00026946
1691769600000,8,-0.00023724
1691798400000,8,-0.00022644
1691827200000,8,-0.00015777
1691856000000,8,-0.00020833
1691884800000,8,-0.00029203
1691913600000,8,-0.00019929
1691942400000,8,-0.00000614
1691971200001,8,-0.00003892
1692000000000,8,-0.00004676
1692028800000,8,-0.00000805
1692057600001,8,-0.00009711
1692086400000,8,-0.00020066
1692115200000,8,0E-8
1692144000000,8,-0.00044204
1692172800001,8,-0.00016210
1692201600000,8,-0.00044400
1692230400000,8,-0.00027077
1692259200000,8,0E-8
1692288000000,8,-0.00018279
1692316800000,8,-0.00074175
1692345600000,8,-0.00005810
1692374400000,8,-0.00011733
1692403200000,8,-0.00029585
1692432000000,8,-0.00035101
1692460800000,8,-0.00012321
1692489600000,8,-0.00001186
1692518400000,8,-0.00012416
1692547200000,8,-0.00026855
1692576000000,8,0E-8
1692604800000,8,-0.00034238
1692633600000,8,-0.00073843
1692662400000,8,-0.00011188
1692691200000,8,-0.00008858
1692720000000,8,-0.00084222
1692748800000,8,-0.00051880
1692777600000,8,0E-8
1692806400000,8,-0.00006038
1692835200000,8,-0.00023809
1692864000000,8,0E-8
1692892800000,8,0E-8
1692921600000,8,0E-8
1692950400000,8,0E-8
1692979200000,8,0E-8
1693008000000,8,0E-8
1693036800000,8,0E-8
1693065600000,8,0E-8
1693094400000,8,0E-8
1693123200000,8,0E-8
1693152000000,8,0E-8
1693180800000,8,0E-8
1693209600001,8,0E-8
1693238400001,8,0E-8
1693267200000,8,0E-8
1693296000000,8,0E-8
1693324800000,8,0E-8
1693353600000,8,0E-8
1693382400000,8,0E-8
1693411200000,8,0E-8
1693440000000,8,0E-8
1693468800000,8,0E-8
1693497600000,8,0E-8
