open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1685577600000,306.890,307.860,303.200,304.180,252639.83,1685606399999,77062119.56880,120164,119032.40,36309358.14350,0
1685606400000,304.180,305.380,303.740,305.030,146863.55,1685635199999,44755292.22160,81012,70302.10,21424083.81640,0
1685635200000,305.040,306.710,303.520,305.120,194939.63,1685663999999,59511797.43500,105169,100324.00,30632736.40970,0
1685664000000,305.110,308.630,303.220,307.140,267327.75,1685692799999,81994655.37400,135779,139195.73,42694834.66410,0
1685692800000,307.150,308.120,304.930,306.240,243507.16,1685721599999,74672441.86950,113872,118266.03,36268860.80060,0
1685721600000,306.250,308.500,306.050,307.390,153247.34,1685750399999,47111421.21220,81741,74184.69,22803640.98650,0
1685750400000,307.380,307.440,305.100,306.110,111821.69,1685779199999,34253193.43070,64159,54634.81,16734557.70330,0
1685779200000,306.110,308.120,305.740,308.080,129805.93,1685807999999,39861681.48540,73580,63105.99,19376408.39940,0
1685808000000,308.080,308.450,305.610,306.730,134644.88,1685836799999,41317515.35460,71467,63115.01,19363872.86510,0
1685836800000,306.740,307.000,305.830,306.940,99579.68,1685865599999,30508877.18140,55908,51719.07,15844922.11130,0
1685865600000,306.940,307.820,306.710,306.720,140773.71,1685894399999,43258174.30540,72307,66418.51,20408877.14130,0
1685894400000,306.720,307.690,304.650,305.230,211315.46,1685923199999,64705252.59230,111026,100658.25,30826289.12090,0
1685923200000,305.230,305.230,298.240,301.070,502819.08,1685951999999,151785779.07961,223772,219376.55,66223432.87350,0
1685952000000,301.070,301.320,275.200,275.660,1671330.95,1685980799999,483071527.10737,695389,776301.61,224528212.48747,0
1685980800000,275.750,283.430,271.510,277.000,1581070.33,1686009599999,438155038.41345,644668,783332.63,217153048.00439,0
1686009600000,277.010,279.430,273.260,277.270,606484.95,1686038399999,167790417.91383,229175,287977.37,79685638.83475,0
1686038400000,277.270,281.260,273.040,278.880,1054948.48,1686067199999,292651331.36728,384104,531456.17,147442929.04780,0
1686067200000,278.870,285.870,278.700,281.180,844145.68,1686095999999,238172392.98903,318432,421385.21,118892341.92441,0
1686096000000,281.180,281.810,276.460,276.820,369084.10,1686124799999,102931340.39735,156757,177198.96,49413995.10920,0
1686124800000,276.820,277.600,253.390,258.910,2546660.09,1686153599999,673459853.71379,890880,1230541.18,325254847.03492,0
1686153600000,258.910,264.030,255.030,259.220,1114755.03,1686182399999,289289036.97153,424143,555674.87,144250917.56710,0
1686182400000,259.210,262.990,257.040,260.820,659355.25,1686211199999,171512913.98473,253136,336989.43,87674453.52920,0
1686211200000,260.820,267.750,260.260,265.180,1075750.92,1686239999999,284354528.58008,404748,546376.34,144441332.76601,0
1686240000000,265.170,265.370,261.050,261.960,530322.14,1686268799999,139602752.30750,214587,257614.85,67821520.31120,0
1686268800000,261.960,263.000,255.470,258.300,791563.01,1686297599999,205315216.65163,294160,383976.35,99611690.74080,0
1686297600000,258.300,264.770,257.400,261.170,933097.01,1686326399999,243963685.77007,346388,472651.98,123578445.85587,0
1686326400000,261.170,262.930,259.120,260.780,506363.54,1686355199999,132268404.91530,211454,257958.70,67393724.96000,0
1686355200000,260.770,260.930,225.000,234.800,3062194.20,1686383999999,741764300.58406,1050322,1409370.45,341410942.20672,0
1686384000000,234.810,239.520,234.550,235.160,950653.45,1686412799999,225203333.80109,345407,473308.60,112121262.46558,0
1686412800000,235.170,242.100,233.050,238.740,1073778.45,1686441599999,255290710.74657,389216,562588.60,133812606.49966,0
1686441600000,238.750,239.110,234.240,236.680,450653.47,1686470399999,106700028.42431,179200,223239.18,52858269.92410,0
1686470400000,236.680,237.440,232.910,234.670,612976.58,1686499199999,144345492.54320,222652,302915.82,71349817.66610,0
1686499200000,234.660,238.460,233.680,235.190,661252.23,1686527999999,156334135.27640,234364,328988.17,77785931.01190,0
1686528000000,235.190,235.630,222.000,223.670,2363763.67,1686556799999,536162198.26785,701213,1152205.51,261321477.07834,0
1686556800000,223.670,239.470,220.000,230.970,3228996.40,1686585599999,745778257.81018,955071,1645290.91,380182489.26260,0
