open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1685577600000,634.80,637.50,625.00,630.90,6720.763,1685606399999,4239638.11770,23624,3450.434,2176473.52490,0
1685606400000,631.00,639.80,630.10,638.30,5740.435,1685635199999,3645952.56930,20747,2856.473,1814165.00580,0
1685635200000,638.30,644.10,637.40,641.10,5537.662,1685663999999,3551052.36650,20475,2729.424,1750203.42320,0
1685664000000,641.20,662.80,635.00,661.00,10903.951,1685692799999,7123734.50620,34066,5906.696,3860398.63960,0
1685692800000,661.00,671.00,659.00,666.80,13082.423,1685721599999,8700263.88850,42263,6431.908,4278047.15190,0
1685721600000,666.70,668.80,661.50,662.20,6373.474,1685750399999,4238066.56180,23970,2850.129,1895271.66030,0
1685750400000,662.30,665.40,656.90,665.10,5633.371,1685779199999,3718822.65920,24019,2922.974,1929315.10610,0
1685779200000,665.10,676.00,665.00,675.80,8985.944,1685807999999,6031387.06400,31569,4564.652,3064682.68560,0
1685808000000,675.80,676.30,670.60,674.30,6285.794,1685836799999,4235194.59340,24320,2937.851,1979608.92470,0
1685836800000,674.20,685.90,666.90,685.90,6266.423,1685865599999,4234678.80940,24856,3405.279,2302247.41240,0
1685865600000,685.80,705.80,684.40,695.30,35681.049,1685894399999,24910419.91650,93243,17578.942,12272601.65650,0
1685894400000,695.30,696.10,680.20,681.70,9633.019,1685923199999,6644931.22920,40022,5009.520,3455934.79430,0
1685923200000,681.70,688.90,671.10,688.80,12148.057,1685951999999,8260545.43370,39449,6186.148,4207538.48950,0
1685952000000,688.80,690.80,645.50,648.90,19336.223,1685980799999,13067813.54510,54334,9265.217,6259238.92110,0
1685980800000,648.80,660.00,626.40,648.10,24598.926,1686009599999,15980877.93710,70371,12315.658,8004004.94850,0
1686009600000,648.30,650.50,633.20,637.40,10441.051,1686038399999,6665801.54640,38900,4767.215,3043483.30690,0
1686038400000,637.50,651.80,632.30,640.70,14639.975,1686067199999,9392573.14270,44290,7314.158,4691932.84010,0
1686067200000,640.70,656.50,638.10,649.80,9126.582,1686095999999,5914807.68670,31749,4255.557,2757777.40610,0
1686096000000,649.80,649.90,634.80,636.30,7374.965,1686124799999,4724609.61280,24201,3620.321,2319058.06830,0
1686124800000,636.30,638.20,616.20,617.20,12106.107,1686153599999,7580076.52010,34758,5994.263,3753145.75190,0
1686153600000,617.20,625.10,615.20,623.20,7296.146,1686182399999,4531335.37250,25810,3703.070,2299689.56740,0
1686182400000,623.30,627.60,616.60,623.30,6132.219,1686211199999,3818480.61370,22396,2791.340,1737557.11880,0
1686211200000,623.40,634.90,622.00,628.30,7476.584,1686239999999,4707064.79440,26040,3524.742,2219036.07460,0
1686240000000,628.40,629.50,622.50,624.60,4682.408,1686268799999,2933123.96810,18047,2294.578,1437588.99300,0
1686268800000,624.70,627.50,616.20,622.10,5685.770,1686297599999,3541749.08420,23928,2815.851,1754526.19140,0
1686297600000,622.10,635.80,620.90,627.60,6086.633,1686326399999,3832042.26990,26361,2763.203,1739173.42170,0
1686326400000,627.50,630.30,621.10,627.80,7217.425,1686355199999,4510962.07180,23409,3628.329,2267472.37710,0
1686355200000,627.90,629.10,501.10,580.80,61066.806,1686383999999,34867537.54360,200952,29253.441,16723988.68610,0
1686384000000,580.90,610.00,578.00,598.80,41521.756,1686412799999,24585355.47670,115852,20735.235,12280751.92170,0
1686412800000,598.80,648.50,595.50,629.80,86707.537,1686441599999,54332074.28990,235550,43621.950,27330426.44280,0
1686441600000,629.80,629.80,596.10,600.00,45378.016,1686470399999,27701618.40960,126641,23398.868,14278948.54480,0
1686470400000,600.00,609.80,590.30,599.30,24706.597,1686499199999,14789972.76070,68003,12662.101,7579664.80190,0
1686499200000,599.30,626.10,599.30,617.00,28009.723,1686527999999,17244565.10110,82827,14362.768,8841008.33710,0
1686528000000,617.00,624.10,603.60,609.20,20842.908,1686556799999,12805903.75070,62985,10437.081,6412259.32590,0
1686556800000,609.30,628.50,607.20,622.30,20614.709,1686585599999,12743495.83130,60849,10740.284,6639040.99930,0
1686585600000,622.30,629.60,618.30,628.40,13577.164,1686614399999,8480104.96240,46963,6724.935,4200111.57980,0
1686614400000,628.30,640.80,625.60,636.80,13808.591,1686643199999,8742774.64540,44830,7089.025,4488391.41180,0
1686643200000,636.80,646.50,629.70,633.30,20488.283,1686671999999,13070158.83570,63888,10400.015,6635485.07320,0
1686672000000,633.30,641.00,626.60,634.80,15372.078,1686700799999,9728204.89290,54184,7468.665,4726850.24770,0
1686700800000,634.80,649.60,632.30,636.30,12469.904,1686729599999,7975027.53220,44423,6110.061,3907710.94240,0
1686729600000,636.40,659.80,636.00,654.60,23004.115,1686758399999,15002951.92120,72109,11554.634,7534818.86190,0
1686758400000,654.70,654.80,611.00,627.80,24499.493,1686787199999,15539296.85960,83618,12327.343,7819637.19530,0
1686787200000,627.80,640.50,626.30,635.50,12128.813,1686815999999,7705446.94800,39714,5624.247,3573129.03290,0
1686816000000,635.60,645.20,633.50,640.30,12334.048,1686844799999,7887804.15920,40275,6240.065,3991382.28780,0
1686844800000,640.20,653.00,636.10,646.40,12562.724,1686873599999,8096680.60200,42461,6121.589,3945072.56020,0
1686873600000,646.30,648.50,642.40,648.10,5660.370,1686902399999,3653182.59780,24180,3003.007,1938181.41160,0
1686902400000,648.10,675.00,647.70,673.80,17348.698,1686931199999,11441846.26560,57608,9560.699,6307574.13330,0
1686931200000,673.60,682.00,669.60,679.40,18777.789,1686959999999,12692624.75240,61370,9314.643,6298032.14540,0
1686960000000,679.30,691.30,672.30,679.40,12267.450,1686988799999,8357144.30770,50565,6232.344,4247432.69840,0
1686988800000,679.30,680.80,663.20,668.70,16560.713,1687017599999,11090472.88360,51440,7235.127,4843934.16290,0
1687017600000,668.80,671.90,667.20,669.30,5610.546,1687046399999,3757132.05410,25295,2743.339,1837321.30780,0
1687046400000,669.30,690.90,664.40,676.00,10220.474,1687075199999,6848642.79890,35356,5585.180,3744983.48390,0
1687075200000,676.00,683.90,667.30,676.60,15805.857,1687103999999,10648593.00360,50806,8014.829,5400246.79060,0
1687104000000,676.70,682.80,666.10,672.30,12108.058,1687132799999,8173477.26330,46715,6440.567,4347060.65700,0
1687132800000,672.30,690.90,669.30,688.70,17231.708,1687161599999,11776026.53540,52693,9038.731,6179269.82930,0
