calc_time,funding_interval_hours,last_funding_rate
1685577600008,8,-0.00011427
1685606400012,8,0.00000194
1685635200000,8,0.00010000
1685664000000,8,0.00010000
1685692800006,8,0.00010000
1685721600012,8,0.00010000
1685750400000,8,0.00010000
1685779200011,8,0.00010000
1685808000003,8,0.00010000
1685836800000,8,0.00010000
1685865600000,8,0.00010000
1685894400000,8,0.00010000
1685923200005,8,0.00010000
1685952000000,8,0.00010000
1685980800000,8,0.00010000
1686009600000,8,0.00004579
1686038400009,8,0.00002650
1686067200013,8,0.00010000
1686096000000,8,0.00009603
1686124800016,8,0.00010000
1686153600000,8,0.00010000
1686182400006,8,0.00010000
1686211200000,8,0.00010000
1686240000000,8,0.00010000
1686268800000,8,0.00010000
1686297600000,8,0.00010000
1686326400000,8,0.00010000
1686355200000,8,0.00010000
1686384000000,8,-0.00047897
1686412800000,8,-0.00004530
1686441600001,8,0.00010000
1686470400000,8,-0.00007241
1686499200000,8,-0.00054788
1686528000000,8,-0.00013365
1686556800000,8,-0.00036920
1686585600001,8,-0.00025245
1686614400000,8,-0.00025805
1686643200000,8,-0.00017152
1686672000000,8,0.00006252
1686700800000,8,-0.00060902
1686729600000,8,-0.00016981
1686758400000,8,-0.00033153
1686787200000,8,-0.00026791
1686816000000,8,-0.00022865
1686844800000,8,-0.00009259
1686873600000,8,-0.00034069
1686902400000,8,-0.00018027
1686931200000,8,-0.00072786
1686960000000,8,-0.00037066
1686988800000,8,-0.00026156
1687017600000,8,0.00000698
1687046400000,8,-0.00047068
1687075200000,8,-0.00031439
1687104000000,8,-0.00060800
1687132800000,8,-0.00038236
1687161600000,8,-0.00030613
1687190400000,8,-0.00042572
1687219200001,8,-0.00081158
1687248000000,8,-0.00015215
1687276800000,8,0.00001565
1687305600000,8,0.00008008
1687334400000,8,0.00010000
1687363200000,8,-0.00017472
1687392000000,8,-0.00012695
1687420800001,8,0.00010000
1687449600000,8,0.00010000
1687478400000,8,0.00006263
1687507200000,8,0.00010000
1687536000000,8,6.8E-7
1687564800000,8,0.00010000
1687593600000,8,0.00002931
1687622400000,8,0.00004468
1687651200000,8,0.00010000
1687680000000,8,0.00010000
1687708800000,8,0.00010000
1687737600000,8,0.00010000
1687766400000,8,0.00010000
1687795200000,8,0.00010000
1687824000000,8,0.00010000
1687852800000,8,0.00007881
1687881600000,8,-0.00018950
1687910400000,8,-0.00033078
1687939200000,8,-0.00038767
1687968000000,8,-0.00009362
1687996800000,8,-0.00045363
1688025600000,8,-0.00013362
1688054400000,8,-0.00008595
1688083200000,8,-0.00039934
1688112000000,8,0.00010000
1688140800001,8,-0.00044257
1688169600000,8,-0.00016469
1688198400000,8,-0.00000434
1688227200000,8,-0.00002263
1688256000000,8,-0.00007860
1688284800000,8,0.00009868
1688313600001,8,-0.00000478
1688342400000,8,0.00005472
1688371200000,8,0.00010000
1688400000000,8,0.00010000
1688428800001,8,0.00000715
1688457600000,8,0.00010000
1688486400000,8,0.00010000
1688515200000,8,-0.00007778
1688544000000,8,0.00010000
1688572800000,8,-0.00003593
1688601600000,8,-0.00019660
1688630400000,8,-0.00022563
1688659200000,8,-0.00054581
1688688000000,8,-0.00029362
1688716800000,8,-0.00001612
1688745600000,8,-0.00011302
1688774400000,8,-0.00034024
1688803200000,8,0.00005473
1688832000000,8,-0.00043666
1688860800000,8,-0.00012852
1688889600000,8,0.00001954
1688918400000,8,-0.00033886
1688947200000,8,-0.00017687
1688976000000,8,-0.00021484
1689004800000,8,0.00006667
1689033600000,8,-0.00014497
1689062400000,8,0.00006911
1689091200000,8,-0.00026302
1689120000000,8,-0.00020099
1689148800000,8,0.00007823
1689177600000,8,0.00009233
1689206400000,8,-0.00004387
1689235200000,8,-0.00000333
1689264000000,8,0.00002474
1689292800000,8,0.00010000
1689321600000,8,0.00010000
1689350400000,8,0.00010000
1689379200000,8,0.00010000
1689408000000,8,0.00010000
1689436800000,8,0.00010000
1689465600001,8,-0.00025920
1689494400000,8,-0.00111525
1689523200000,8,0.00010000
1689552000000,8,0.00009610
1689580800000,8,0.00010000
1689609600000,8,0.00010000
1689638400000,8,0.00010000
1689667200000,8,0.00010000
1689696000000,8,0.00010000
1689724800000,8,-0.00019930
1689753600000,8,0.00008517
1689782400001,8,0.00009025
1689811200000,8,0.00010000
1689840000000,8,0.00010000
1689868800000,8,0.00010000
1689897600001,8,-0.00003102
1689926400000,8,0.00010000
1689955200000,8,0.00010000
1689984000000,8,0.00010000
1690012800000,8,0.00010000
1690041600000,8,0.00010000
1690070400000,8,0.00010000
1690099200000,8,0.00010000
1690128000000,8,0.00010000
1690156800000,8,0.00010000
1690185600000,8,0.00010000
1690214400000,8,0.00010000
1690243200000,8,0.00010000
1690272000000,8,0.00010000
1690300800000,8,0.00010000
1690329600000,8,0.00010000
1690358400001,8,0.00010000
1690387200000,8,0.00009401
1690416000000,8,0.00010000
1690444800000,8,0.00010000
1690473600001,8,3.2E-7
1690502400000,8,-0.00017267
1690531200000,8,-0.00011162
1690560000000,8,0.00010000
1690588800000,8,0.00010000
1690617600000,8,-0.00012424
1690646400001,8,0.00009298
1690675200000,8,-0.00003842
1690704000000,8,0.00008140
1690732800000,8,0.00010000
1690761600000,8,0.00010000
1690790400000,8,0.00010000
1690819200001,8,0.00010000
